cuisine,name,original_name,address,neighborhood,phone
Other,The Social Club,The Social Club,1717 Collins Avenue,,305-604-1800
Other,The Strand Bar and Grill,The Strand Bar and Grill,6801 Collins Avenue,,(305) 514-7474
Other,The Tavern,The Tavern,3720 Collins Avenue,,(305) 938-1145
Other,Tnt Gigino Holding,Tnt Gigino Holding,409 ESPANOLA WAY,,305.604.3432
Other,Toothfairy,Toothfairy,1575 Alton Road,,
Other,Treehouse C/o Jeremy Waks,Treehouse C/o Jeremy Waks,323 W 23rd Street,,(786) 318-1908
Other,Tropical Beach Cafe,Tropical Beach Cafe,2891 Collins Avenue,,305-538-0359
Other,Twist C/o Gale Aviation Services,Twist C/o Gale Aviation Services,1057 Washington Avenue,,305-538-9478
Other,Under the Mango Tree,Under the Mango Tree,737 5th Street,,(786) 558-5103
Other,Urbanica Minibar,Urbanica Minibar,418 Meridian Avenue,,(305) 763-8934
Other,Venezia Pizza & Cafe C/o Jose Perez R.a.,Venezia Pizza & Cafe C/o Jose Perez R.a.,6646 Collins Avenue,,305-868-2267
Other,Veterans of Foreign Wars,Veterans of Foreign Wars,650 West Ave,,3056721990
Other,Via Emilia 9 Llc,Via Emilia 9 Llc,1120 15th Street,,786-216-7150
Other,Vida,Vida,4441 Collins Avenue,,305-674-4730
Other,Vida Y Estilo,Vida Y Estilo,410 ESPANOLA WAY,,(305) 532-0490
Other,Villa Azur,Villa Azur,309 23rd Street,,3057638688
Other,Vita,  Baoli Vita,Vita,  Baoli Vita,1906 Collins Avenue,, 305-674-8822
Other,Vlady & Lilly Tropical Coffee Bar,Vlady & Lilly Tropical Coffee Bar,7111 COLLINS AVE,,(786) 338-5339
Other,Voodoo Rooftop Lounge & Hookah C/0 Calara , Mandy,Voodoo Rooftop Lounge & Hookah C/0 Calara , Mandy,928 Ocean Drive,,(305) 206-6404
Other,Washmonbo, Inc.d/b/a Front Porch Cafe,Washmonbo, Inc.d/b/a Front Porch Cafe,1458 Ocean Drive,,305-531-8300
Other,Watr at the 1 Rooftop,Watr at the 1 Rooftop,2341 Collins Avenue,,(305) 604-1000
Other,Wet Willies,Wet Willies,760 Ocean Drive,,305-532-5650
Other,Winker's Diner,Winker's Diner,1575 Alton Road,,
Other,Xo Espresso Bar Llc (#108),Xo Espresso Bar Llc (#108),723 N Lincoln Lane,,(786) 862-5334
Other,Yard House,Yard House,1681 Lenox Avenue,,305-535-5660
